BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;42239;-1;<p:>;;;;;;;;;;
42240;5279;0;D;;The;D V;;;;;;;
47520;1439;0;V;;The;D V;;;;;;;
48960;4799;1;?;;album;{ l b V m;;;;;;;
53760;1919;1;{;;album;{ l b V m;;;;;;;
55680;6239;1;l;;album;{ l b V m;;;;;;;
61920;4319;1;b;;album;{ l b V m;;;;;;;
66240;5279;1;V;;album;{ l b V m;;;;;;;
71520;3839;1;m;;album;{ l b V m;;;;;;;
75360;7199;2;w;;was;w Q z;;;;;;;
82560;2399;2;Q;;was;w Q z;;;;;;;
84960;6719;2;z;;was;w Q z;;;;;;;
91680;1439;3;R;;recorded;R V k O: R d V d;;;;;;;
93120;3839;3;V;;recorded;R V k O: R d V d;;;;;;;
96960;5759;3;k;;recorded;R V k O: R d V d;;;;;;;
102720;3839;3;O:;;recorded;R V k O: R d V d;;;;;;;
106560;1919;3;R;;recorded;R V k O: R d V d;;;;;;;
108480;5279;3;d;;recorded;R V k O: R d V d;;;;;;;
113760;5279;3;V;;recorded;R V k O: R d V d;;;;;;;
119040;6239;3;d;;recorded;R V k O: R d V d;;;;;;;
125280;1919;4;V;;and;V n d;;;;;;;
127200;9599;4;n;;and;V n d;;;;;;;
136800;1439;5;p;;produced;p R V d u: s t;;;;;;;
138240;1439;5;R;;produced;p R V d u: s t;;;;;;;
139680;1439;5;V;;produced;p R V d u: s t;;;;;;;
141120;5279;5;d;;produced;p R V d u: s t;;;;;;;
146400;11039;5;u:;;produced;p R V d u: s t;;;;;;;
157440;6719;5;s;;produced;p R V d u: s t;;;;;;;
164160;5759;5;t;;produced;p R V d u: s t;;;;;;;
169920;5279;6;I;;in;I n;;;;;;;
175200;1439;6;n;;in;I n;;;;;;;
176640;5279;7;s;;several;s E v R V l;;;;;;;
181920;4319;7;E;;several;s E v R V l;;;;;;;
186240;2399;7;v;;several;s E v R V l;;;;;;;
188640;1439;7;R;;several;s E v R V l;;;;;;;
190080;3839;7;V;;several;s E v R V l;;;;;;;
193920;1919;7;l;;several;s E v R V l;;;;;;;
195840;7679;8;s;;cities;s I t i: z;;;;;;;
203520;4799;8;I;;cities;s I t i: z;;;;;;;
208320;4799;8;t;;cities;s I t i: z;;;;;;;
213120;8159;8;i:;;cities;s I t i: z;;;;;;;
221280;10559;8;z;;cities;s I t i: z;;;;;;;
231840;1919;9;I;;in;I n;;;;;;;
233760;7199;9;n;;in;I n;;;;;;;
240960;1439;10;D;;the;D V;;;;;;;
242400;1439;10;V;;the;D V;;;;;;;
243840;1439;11;j;;United;j u: n aI t V d;;;;;;;
245280;4799;11;u:;;United;j u: n aI t V d;;;;;;;
250080;6719;11;n;;United;j u: n aI t V d;;;;;;;
256800;3359;11;aI;;United;j u: n aI t V d;;;;;;;
260160;5279;11;t;;United;j u: n aI t V d;;;;;;;
265440;1439;11;V;;United;j u: n aI t V d;;;;;;;
266880;1439;11;d;;United;j u: n aI t V d;;;;;;;
268320;7199;12;s;;States;s t eI t s;;;;;;;
275520;3359;12;t;;States;s t eI t s;;;;;;;
278880;10079;12;eI;;States;s t eI t s;;;;;;;
288960;2399;12;t;;States;s t eI t s;;;;;;;
291360;2879;12;s;;States;s t eI t s;;;;;;;
294240;1919;13;V;;and;V n d;;;;;;;
296160;1439;13;n;;and;V n d;;;;;;;
297600;14879;14;m;;Mexico;m E k s V k @U;;;;;;;
312480;5759;14;E;;Mexico;m E k s V k @U;;;;;;;
318240;2879;14;k;;Mexico;m E k s V k @U;;;;;;;
321120;4319;14;s;;Mexico;m E k s V k @U;;;;;;;
325440;1439;14;V;;Mexico;m E k s V k @U;;;;;;;
326880;8159;14;k;;Mexico;m E k s V k @U;;;;;;;
335040;2879;14;@U;;Mexico;m E k s V k @U;;;;;;;
337920;27359;-1;<p:>;;;;;;;;;;
