BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;29279;-1;<p:>;;;;;;;;;;
29280;1919;0;b;;By;b aI;;;;;;;
31200;5759;0;aI;;By;b aI;;;;;;;
36960;4799;1;D;;that;D { t;;;;;;;
41760;3839;1;{;;that;D { t;;;;;;;
45600;4799;1;t;;that;D { t;;;;;;;
50400;4799;2;t;;time;t aI m;;;;;;;
55200;10079;2;aI;;time;t aI m;;;;;;;
65280;4319;2;m;;time;t aI m;;;;;;;
69600;11039;-1;<p:>;;;;;;;;;;
80640;2879;3;I;;it;I t;;;;;;;
83520;4799;3;t;;it;I t;;;;;;;
88320;2879;4;w;;was;w Q z;;;;;;;
91200;1919;4;Q;;was;w Q z;;;;;;;
93120;3359;4;z;;was;w Q z;;;;;;;
96480;1439;5;m;;moving;m u: v I N;;;;;;;
97920;11039;5;u:;;moving;m u: v I N;;;;;;;
108960;1919;5;v;;moving;m u: v I N;;;;;;;
110880;1919;5;I;;moving;m u: v I N;;;;;;;
112800;1439;5;N;;moving;m u: v I N;;;;;;;
114240;9119;6;n;;northward;n O: R T w 3` d;;;;;;;
123360;5759;6;O:;;northward;n O: R T w 3` d;;;;;;;
129120;1919;6;R;;northward;n O: R T w 3` d;;;;;;;
131040;8159;6;T;;northward;n O: R T w 3` d;;;;;;;
139200;2399;6;w;;northward;n O: R T w 3` d;;;;;;;
141600;8639;6;3`;;northward;n O: R T w 3` d;;;;;;;
150240;7679;6;d;;northward;n O: R T w 3` d;;;;;;;
157920;3839;-1;<p:>;;;;;;;;;;
161760;2879;7;V;;along;V l O: N;;;;;;;
164640;4799;7;l;;along;V l O: N;;;;;;;
169440;6719;7;O:;;along;V l O: N;;;;;;;
176160;4799;7;N;;along;V l O: N;;;;;;;
180960;2879;8;D;;the;D V;;;;;;;
183840;1439;8;V;;the;D V;;;;;;;
185280;3359;-1;<p:>;;;;;;;;;;
188640;5279;9;p;;periphery;p 3` I f 3` i:;;;;;;;
193920;6239;9;3`;;periphery;p 3` I f 3` i:;;;;;;;
200160;1439;9;I;;periphery;p 3` I f 3` i:;;;;;;;
201600;8639;9;f;;periphery;p 3` I f 3` i:;;;;;;;
210240;3359;9;3`;;periphery;p 3` I f 3` i:;;;;;;;
213600;4799;9;i:;;periphery;p 3` I f 3` i:;;;;;;;
218400;4319;10;V;;of;V v;;;;;;;
222720;5759;10;v;;of;V v;;;;;;;
228480;2399;11;D;;the;D V;;;;;;;
230880;3839;11;V;;the;D V;;;;;;;
234720;6719;12;R;;ridge;R I dZ;;;;;;;
241440;8639;12;I;;ridge;R I dZ;;;;;;;
250080;7679;12;dZ;;ridge;R I dZ;;;;;;;
257760;2399;-1;<p:>;;;;;;;;;;
260160;5279;13;t;;to;t u:;;;;;;;
265440;1919;13;u:;;to;t u:;;;;;;;
267360;3359;14;D;;the;D V;;;;;;;
270720;1439;14;V;;the;D V;;;;;;;
272160;11039;15;i:;;east;i: s t;;;;;;;
283200;7679;15;s;;east;i: s t;;;;;;;
290880;5759;15;t;;east;i: s t;;;;;;;
296640;28319;-1;<p:>;;;;;;;;;;
