BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;37439;-1;<p:>;;;;;;;;;;
37440;2879;0;D;;This;D I s;;;;;;;
40320;3839;0;I;;This;D I s;;;;;;;
44160;4319;0;s;;This;D I s;;;;;;;
48480;4319;1;t;;type;t aI p;;;;;;;
52800;3839;1;aI;;type;t aI p;;;;;;;
56640;5279;1;p;;type;t aI p;;;;;;;
61920;2879;2;V;;of;V v;;;;;;;
64800;5279;2;v;;of;V v;;;;;;;
70080;7679;3;S;;ship;S I p;;;;;;;
77760;10559;3;I;;ship;S I p;;;;;;;
88320;2399;3;p;;ship;S I p;;;;;;;
90720;11519;-1;<p:>;;;;;;;;;;
102240;3359;4;w;;would;w U d;;;;;;;
105600;8639;4;U;;would;w U d;;;;;;;
114240;7679;4;d;;would;w U d;;;;;;;
121920;8159;-1;<p:>;;;;;;;;;;
130080;3839;5;k;;come;k V m;;;;;;;
133920;3359;5;V;;come;k V m;;;;;;;
137280;5759;5;m;;come;k V m;;;;;;;
143040;2879;6;t;;to;t u:;;;;;;;
145920;1919;6;u:;;to;t u:;;;;;;;
147840;2879;7;b;;be;b i:;;;;;;;
150720;3359;7;i:;;be;b i:;;;;;;;
154080;3359;8;v;;very;v E R i:;;;;;;;
157440;6239;8;E;;very;v E R i:;;;;;;;
163680;3359;8;R;;very;v E R i:;;;;;;;
167040;1919;8;i:;;very;v E R i:;;;;;;;
168960;5759;9;s;;successful;s V k s E s f V l;;;;;;;
174720;3839;9;V;;successful;s V k s E s f V l;;;;;;;
178560;1439;9;k;;successful;s V k s E s f V l;;;;;;;
180000;5279;9;s;;successful;s V k s E s f V l;;;;;;;
185280;6239;9;E;;successful;s V k s E s f V l;;;;;;;
191520;3359;9;s;;successful;s V k s E s f V l;;;;;;;
194880;4799;9;f;;successful;s V k s E s f V l;;;;;;;
199680;1439;9;V;;successful;s V k s E s f V l;;;;;;;
201120;8159;9;l;;successful;s V k s E s f V l;;;;;;;
209280;4799;-1;<p:>;;;;;;;;;;
214080;1439;10;I;;in;I n;;;;;;;
215520;17759;10;n;;in;I n;;;;;;;
233280;2399;11;D;;the;D V;;;;;;;
235680;1439;11;V;;the;D V;;;;;;;
237120;1439;12;V;;American;V m E R V k V n;;;;;;;
238560;3359;12;m;;American;V m E R V k V n;;;;;;;
241920;3359;12;E;;American;V m E R V k V n;;;;;;;
245280;1439;12;R;;American;V m E R V k V n;;;;;;;
246720;2399;12;V;;American;V m E R V k V n;;;;;;;
249120;5279;12;k;;American;V m E R V k V n;;;;;;;
254400;1439;12;V;;American;V m E R V k V n;;;;;;;
255840;3359;12;n;;American;V m E R V k V n;;;;;;;
259200;4799;13;s;;Civil;s I v V l;;;;;;;
264000;4319;13;I;;Civil;s I v V l;;;;;;;
268320;3839;13;v;;Civil;s I v V l;;;;;;;
272160;1439;13;V;;Civil;s I v V l;;;;;;;
273600;3839;13;l;;Civil;s I v V l;;;;;;;
277440;3359;14;w;;War;w O: R;;;;;;;
280800;6719;14;O:;;War;w O: R;;;;;;;
287520;1439;14;R;;War;w O: R;;;;;;;
288960;37919;-1;<p:>;;;;;;;;;;
