BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
490560;3839;21;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
494400;5759;21;h;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
500160;2879;21;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
503040;6719;21;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
509760;1439;21;d;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
511200;1439;21;R;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
512640;1439;21;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
514080;1439;21;d;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
515520;17759;21;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
533280;1439;21;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
534720;10559;21;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
545280;1439;21;E;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
546720;5759;21;t;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
552480;2399;21;i:;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
554880;3839;21;Q;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
558720;5279;21;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
564000;34559;-1;<p:>;;;;;;;;;;
