BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;36959;-1;<p:>;;;;;;;;;;
36960;3359;0;D;;The;D V;;;;;;;
40320;2399;0;V;;The;D V;;;;;;;
42720;4319;1;g;;game;g eI m;;;;;;;
47040;7199;1;eI;;game;g eI m;;;;;;;
54240;5279;1;m;;game;g eI m;;;;;;;
59520;4799;2;w;;was;w Q z;;;;;;;
64320;7199;2;Q;;was;w Q z;;;;;;;
71520;7439;2;z;;was;w Q z;;;;;;;
78960;4559;3;R;;released;R i: l i: s t;;;;;;;
83520;4319;3;I;;released;R i: l i: s t;;;;;;;
87840;1439;3;l;;released;R i: l i: s t;;;;;;;
89280;7199;3;i:;;released;R i: l i: s t;;;;;;;
96480;2399;3;s;;released;R i: l i: s t;;;;;;;
98880;3839;3;t;;released;R i: l i: s t;;;;;;;
102720;1439;4;I;;in;I n;;;;;;;
104160;10559;4;n;;in;I n;;;;;;;
114720;1919;5;j;;Europe;j U R V p;;;;;;;
116640;1439;5;U;;Europe;j U R V p;;;;;;;
118080;1439;5;R;;Europe;j U R V p;;;;;;;
119520;1919;5;V;;Europe;j U R V p;;;;;;;
121440;1439;6;I;;in;I n;;;;;;;
122880;1439;6;n;;in;I n;;;;;;;
124320;1919;7;w;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
126240;5759;7;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
132000;1919;7;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
133920;1439;7;T;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
135360;1919;7;aU;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
137280;1439;7;z;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
138720;1439;7;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
140160;6239;7;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
146400;1439;7;d;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
147840;2399;7;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
150240;1439;7;I;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
151680;1919;7;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
153600;4319;7;h;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
157920;1439;7;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
159360;2879;7;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
162240;1439;7;d;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
163680;1439;7;R;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
165120;1439;7;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
166560;4799;7;d;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
171360;2399;7;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
173760;4799;7;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
178560;1439;7;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
180000;1439;7;E;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
181440;1439;7;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
182880;1919;7;i:;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
184800;1439;7;Q;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
186240;1919;7;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
188160;20639;-1;<p:>;;;;;;;;;;
208800;1439;8;I;;in;I n;;;;;;;
210240;13439;8;n;;in;I n;;;;;;;
223680;1439;9;n;;North;n O: R T;;;;;;;
225120;3839;9;O:;;North;n O: R T;;;;;;;
228960;1439;9;R;;North;n O: R T;;;;;;;
230400;4799;9;T;;North;n O: R T;;;;;;;
235200;1919;10;V;;America;V m E R V k V;;;;;;;
237120;4319;10;m;;America;V m E R V k V;;;;;;;
241440;5759;10;E;;America;V m E R V k V;;;;;;;
247200;1439;10;R;;America;V m E R V k V;;;;;;;
248640;2879;10;V;;America;V m E R V k V;;;;;;;
251520;4799;10;k;;America;V m E R V k V;;;;;;;
256320;1439;10;V;;America;V m E R V k V;;;;;;;
257760;1439;11;Q;;on;Q n;;;;;;;
259200;13439;11;n;;on;Q n;;;;;;;
272640;1919;12;d;;December;d I s E m b 3`;;;;;;;
274560;2399;12;I;;December;d I s E m b 3`;;;;;;;
276960;7679;12;s;;December;d I s E m b 3`;;;;;;;
284640;3839;12;E;;December;d I s E m b 3`;;;;;;;
288480;5759;12;m;;December;d I s E m b 3`;;;;;;;
294240;1439;12;b;;December;d I s E m b 3`;;;;;;;
295680;1919;12;3`;;December;d I s E m b 3`;;;;;;;
297600;1919;13;n;;nineteen;n aI n t i: n;;;;;;;
299520;2399;13;aI;;nineteen;n aI n t i: n;;;;;;;
301920;1919;13;n;;nineteen;n aI n t i: n;;;;;;;
303840;1919;13;i:;;nineteen;n aI n t i: n;;;;;;;
305760;2879;13;n;;nineteen;n aI n t i: n;;;;;;;
308640;1439;14;w;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
310080;1439;14;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
311520;8159;14;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
319680;4319;14;T;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
324000;1919;14;aU;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
325920;1439;14;z;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
327360;1439;14;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
328800;6239;14;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
335040;2399;14;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
337440;1439;14;I;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
338880;1919;14;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
340800;2879;14;h;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
343680;1439;14;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
345120;6719;14;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
351840;5759;14;d;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
357600;1439;14;R;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
359040;1439;14;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
360480;1439;14;d;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
361920;1919;14;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
363840;1919;14;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
365760;1439;14;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
367200;1439;14;E;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
368640;1439;14;t;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
370080;1919;14;i:;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
372000;1439;14;Q;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
373440;1439;14;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
374880;18719;-1;<p:>;;;;;;;;;;
393600;2399;15;V;;and;V n d;;;;;;;
396000;6719;15;n;;and;V n d;;;;;;;
402720;1439;16;I;;in;I n;;;;;;;
404160;4799;16;n;;in;I n;;;;;;;
408960;2879;17;dZ;;Japan;dZ V p { n;;;;;;;
411840;2399;17;V;;Japan;dZ V p { n;;;;;;;
414240;1439;17;p;;Japan;dZ V p { n;;;;;;;
415680;1919;17;{;;Japan;dZ V p { n;;;;;;;
417600;2639;17;n;;Japan;dZ V p { n;;;;;;;
420240;2159;18;Q;;on;Q n;;;;;;;
422400;9599;18;n;;on;Q n;;;;;;;
432000;1439;19;d;;December;d I s E m b 3`;;;;;;;
433440;1439;19;I;;December;d I s E m b 3`;;;;;;;
434880;1439;19;s;;December;d I s E m b 3`;;;;;;;
436320;1439;19;E;;December;d I s E m b 3`;;;;;;;
437760;1439;19;m;;December;d I s E m b 3`;;;;;;;
439200;1439;19;b;;December;d I s E m b 3`;;;;;;;
440640;1919;19;3`;;December;d I s E m b 3`;;;;;;;
442560;1439;20;t;;twenty;t w E n t i:;;;;;;;
444000;1439;20;w;;twenty;t w E n t i:;;;;;;;
445440;2879;20;@;;twenty;t w E n t i:;;;;;;;
448320;7679;20;n;;twenty;t w E n t i:;;;;;;;
456000;1919;20;i:;;twenty;t w E n t i:;;;;;;;
457920;1439;21;w;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
459360;1439;21;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
460800;1439;21;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
462240;9119;21;T;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
471360;1919;21;aU;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
473280;4799;21;z;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
478080;2399;21;V;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
480480;4799;21;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
485280;2399;21;d;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
487680;1439;21;n;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
489120;1439;21;I;;one-thousand-ninehundredninetyone;w V n T aU z V n d n I n h V n d R V d n V n E t i: Q n;;;;;;;
