BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
165600;1919;8;n;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
167520;1919;8;t;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
169440;1919;8;3`;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
171360;6719;8;t;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
178080;4319;8;eI;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
182400;5279;8;n;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
187680;1439;8;m;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
189120;1439;8;V;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
190560;8159;8;n;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
198720;6719;8;t;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
205440;7199;-1;<p:>;;;;;;;;;;
212640;1919;9;?;;on;Q n;;;;;;;
214560;1919;9;Q;;on;Q n;;;;;;;
216480;4799;9;n;;on;Q n;;;;;;;
221280;7199;-1;<p:>;;;;;;;;;;
228480;11519;10;eI;;eight;eI t;;;;;;;
240000;7679;10;t;;eight;eI t;;;;;;;
247680;4799;11;f;;February;f E b j V w E R i:;;;;;;;
252480;4799;11;E;;February;f E b j V w E R i:;;;;;;;
257280;3839;11;b;;February;f E b j V w E R i:;;;;;;;
261120;1439;11;j;;February;f E b j V w E R i:;;;;;;;
262560;5759;11;V;;February;f E b j V w E R i:;;;;;;;
268320;2879;11;w;;February;f E b j V w E R i:;;;;;;;
271200;1439;11;E;;February;f E b j V w E R i:;;;;;;;
272640;2399;11;R;;February;f E b j V w E R i:;;;;;;;
275040;6719;11;i:;;February;f E b j V w E R i:;;;;;;;
281760;1439;12;t;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
283200;1439;12;u;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
284640;3359;12;T;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
288000;1919;12;aU;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
289920;1439;12;z;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
291360;1439;12;V;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
292800;1439;12;n;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
294240;2879;12;d;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
297120;3359;12;T;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
300480;1919;12;3`;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
302400;10079;12;t;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
312480;3359;12;i:;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
315840;3839;12;n;;two-thousand-thirteen;t u: T aU z V n d T 3` t i: n;;;;;;;
319680;22559;-1;<p:>;;;;;;;;;;
342240;6719;13;{;;as;{ z;;;;;;;
348960;3359;13;z;;as;{ z;;;;;;;
352320;1439;14;D;;the;D V;;;;;;;
353760;10079;14;V;;the;D V;;;;;;;
363840;7199;-1;<p:>;;;;;;;;;;
371040;1439;15;R;;record's;R E k 3` d z;;;;;;;
372480;1439;15;E;;record's;R E k 3` d z;;;;;;;
373920;1439;15;k;;record's;R E k 3` d z;;;;;;;
375360;1919;15;3`;;record's;R E k 3` d z;;;;;;;
377280;1439;15;d;;record's;R E k 3` d z;;;;;;;
378720;8639;15;z;;record's;R E k 3` d z;;;;;;;
387360;5279;16;E;;second;s E k V n d;;;;;;;
392640;2879;16;k;;second;s E k V n d;;;;;;;
395520;1439;16;V;;second;s E k V n d;;;;;;;
396960;4319;16;n;;second;s E k V n d;;;;;;;
401280;6719;17;s;;single;s I N g V l;;;;;;;
408000;1439;17;I;;single;s I N g V l;;;;;;;
409440;7679;17;N;;single;s I N g V l;;;;;;;
417120;3359;17;g;;single;s I N g V l;;;;;;;
420480;1439;17;V;;single;s I N g V l;;;;;;;
421920;6719;17;l;;single;s I N g V l;;;;;;;
428640;2399;-1;<p:>;;;;;;;;;;
431040;1439;18;I;;in;I n;;;;;;;
432480;5759;18;n;;in;I n;;;;;;;
438240;2879;19;dZ;;Germany;dZ 3` m V n i:;;;;;;;
441120;1919;19;3`;;Germany;dZ 3` m V n i:;;;;;;;
443040;3839;19;m;;Germany;dZ 3` m V n i:;;;;;;;
446880;1439;19;V;;Germany;dZ 3` m V n i:;;;;;;;
448320;10559;19;n;;Germany;dZ 3` m V n i:;;;;;;;
458880;1919;19;i:;;Germany;dZ 3` m V n i:;;;;;;;
460800;40319;-1;<p:>;;;;;;;;;;
