BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;23999;-1;<p:>;;;;;;;;;;
24000;1919;0;D;;The;D V;;;;;;;
25920;1919;0;V;;The;D V;;;;;;;
27840;5759;1;t;;track;t R { k;;;;;;;
33600;1439;1;R;;track;t R { k;;;;;;;
35040;4319;1;{;;track;t R { k;;;;;;;
39360;1439;1;k;;track;t R { k;;;;;;;
40800;7679;2;h;;however;h aU E v 3`;;;;;;;
48480;11039;2;aU;;however;h aU E v 3`;;;;;;;
59520;11039;2;E;;however;h aU E v 3`;;;;;;;
70560;1439;2;v;;however;h aU E v 3`;;;;;;;
72000;1919;2;3`;;however;h aU E v 3`;;;;;;;
73920;5759;3;w;;was;w Q z;;;;;;;
79680;3359;3;Q;;was;w Q z;;;;;;;
83040;4799;3;z;;was;w Q z;;;;;;;
87840;4319;4;R;;released;R i: l i: s t;;;;;;;
92160;3359;4;i:;;released;R i: l i: s t;;;;;;;
95520;2399;4;l;;released;R i: l i: s t;;;;;;;
97920;7199;4;i:;;released;R i: l i: s t;;;;;;;
105120;3839;4;s;;released;R i: l i: s t;;;;;;;
108960;2639;4;t;;released;R i: l i: s t;;;;;;;
111600;3119;5;b;;by;b aI;;;;;;;
114720;3839;5;aI;;by;b aI;;;;;;;
118560;7199;6;s;;Sony;s @U n i:;;;;;;;
125760;4319;6;@U;;Sony;s @U n i:;;;;;;;
130080;3839;6;n;;Sony;s @U n i:;;;;;;;
133920;2399;6;i:;;Sony;s @U n i:;;;;;;;
136320;4799;7;m;;Music;m j u: z I k;;;;;;;
141120;1919;7;j;;Music;m j u: z I k;;;;;;;
143040;5759;7;u:;;Music;m j u: z I k;;;;;;;
148800;2399;7;z;;Music;m j u: z I k;;;;;;;
151200;4799;7;I;;Music;m j u: z I k;;;;;;;
156000;8159;7;k;;Music;m j u: z I k;;;;;;;
164160;1439;8;E;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
