BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;31679;-1;<p:>;;;;;;;;;;
31680;3359;0;D;;The;D V;;;;;;;
35040;1919;0;V;;The;D V;;;;;;;
36960;6239;1;s;;system;s I s t V m;;;;;;;
43200;5279;1;I;;system;s I s t V m;;;;;;;
48480;2879;1;s;;system;s I s t V m;;;;;;;
51360;4799;1;t;;system;s I s t V m;;;;;;;
56160;4799;1;V;;system;s I s t V m;;;;;;;
60960;2399;1;m;;system;s I s t V m;;;;;;;
63360;6719;2;m;;moved;m u: v d;;;;;;;
70080;9599;2;u:;;moved;m u: v d;;;;;;;
79680;6239;2;v;;moved;m u: v d;;;;;;;
85920;6479;2;d;;moved;m u: v d;;;;;;;
92400;5039;3;t;;to;t u:;;;;;;;
97440;1919;3;u:;;to;t u:;;;;;;;
99360;1439;4;D;;the;D V;;;;;;;
100800;1439;4;V;;the;D V;;;;;;;
102240;7679;5;n;;northwest;n O: R T w E s t;;;;;;;
109920;6239;5;O:;;northwest;n O: R T w E s t;;;;;;;
116160;1439;5;R;;northwest;n O: R T w E s t;;;;;;;
117600;6719;5;T;;northwest;n O: R T w E s t;;;;;;;
124320;6239;5;w;;northwest;n O: R T w E s t;;;;;;;
130560;6239;5;E;;northwest;n O: R T w E s t;;;;;;;
136800;4799;5;s;;northwest;n O: R T w E s t;;;;;;;
141600;3359;5;t;;northwest;n O: R T w E s t;;;;;;;
144960;7199;-1;<p:>;;;;;;;;;;
152160;1439;6;d;;due;d u:;;;;;;;
153600;5759;6;u;;due;d u:;;;;;;;
159360;8159;7;t;;to;t u:;;;;;;;
167520;7199;7;u:;;to;t u:;;;;;;;
174720;1439;8;D;;the;D V;;;;;;;
176160;1919;8;V;;the;D V;;;;;;;
178080;6719;9;s;;subtropical;s V t R Q p I k V l;;;;;;;
184800;3839;9;V;;subtropical;s V t R Q p I k V l;;;;;;;
188640;9119;9;t;;subtropical;s V t R Q p I k V l;;;;;;;
197760;1439;9;R;;subtropical;s V t R Q p I k V l;;;;;;;
199200;2879;9;Q;;subtropical;s V t R Q p I k V l;;;;;;;
202080;4319;9;p;;subtropical;s V t R Q p I k V l;;;;;;;
206400;1439;9;I;;subtropical;s V t R Q p I k V l;;;;;;;
207840;3359;9;k;;subtropical;s V t R Q p I k V l;;;;;;;
211200;1439;9;V;;subtropical;s V t R Q p I k V l;;;;;;;
212640;6239;9;l;;subtropical;s V t R Q p I k V l;;;;;;;
218880;2879;10;R;;ridge;R I dZ;;;;;;;
221760;8639;10;I;;ridge;R I dZ;;;;;;;
230400;9599;10;dZ;;ridge;R I dZ;;;;;;;
240000;5279;11;t;;to;t u:;;;;;;;
245280;1439;11;@;;to;t u:;;;;;;;
246720;2399;12;D;;the;D V;;;;;;;
249120;1439;12;V;;the;D V;;;;;;;
250560;7199;13;n;;northeast;n O: R T i: s t;;;;;;;
257760;5279;13;O:;;northeast;n O: R T i: s t;;;;;;;
263040;1439;13;R;;northeast;n O: R T i: s t;;;;;;;
264480;10559;13;T;;northeast;n O: R T i: s t;;;;;;;
275040;9599;13;i:;;northeast;n O: R T i: s t;;;;;;;
284640;2399;13;s;;northeast;n O: R T i: s t;;;;;;;
287040;9599;13;t;;northeast;n O: R T i: s t;;;;;;;
296640;1439;14;V;;and;V n d;;;;;;;
298080;7199;14;n;;and;V n d;;;;;;;
305280;2399;14;d;;and;V n d;;;;;;;
307680;5759;15;l;;later;l eI t 3`;;;;;;;
313440;1919;15;eI;;later;l eI t 3`;;;;;;;
315360;1439;15;t;;later;l eI t 3`;;;;;;;
316800;1919;15;3`;;later;l eI t 3`;;;;;;;
318720;6239;16;t;;to;t u:;;;;;;;
324960;7199;16;u:;;to;t u:;;;;;;;
332160;7199;-1;<p:>;;;;;;;;;;
339360;3839;17;D;;the;D V;;;;;;;
343200;1439;17;V;;the;D V;;;;;;;
344640;2399;-1;<p:>;;;;;;;;;;
347040;2399;18;n;;north;n O: R T;;;;;;;
349440;6719;18;O:;;north;n O: R T;;;;;;;
356160;2399;18;R;;north;n O: R T;;;;;;;
358560;7199;18;T;;north;n O: R T;;;;;;;
365760;48479;-1;<p:>;;;;;;;;;;
