BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
340320;3359;14;E;;estimated;E s t V m eI t V d;;;;;;;
343680;2879;14;s;;estimated;E s t V m eI t V d;;;;;;;
346560;3359;14;t;;estimated;E s t V m eI t V d;;;;;;;
349920;1439;14;V;;estimated;E s t V m eI t V d;;;;;;;
351360;3359;14;m;;estimated;E s t V m eI t V d;;;;;;;
354720;5759;14;eI;;estimated;E s t V m eI t V d;;;;;;;
360480;5279;14;t;;estimated;E s t V m eI t V d;;;;;;;
365760;4799;14;V;;estimated;E s t V m eI t V d;;;;;;;
370560;3839;14;d;;estimated;E s t V m eI t V d;;;;;;;
374400;2399;15;D;;the;D V;;;;;;;
376800;1439;15;V;;the;D V;;;;;;;
378240;4799;16;d;;depression;d I p R E S V n;;;;;;;
383040;1919;16;I;;depression;d I p R E S V n;;;;;;;
384960;6719;16;p;;depression;d I p R E S V n;;;;;;;
391680;2399;16;R;;depression;d I p R E S V n;;;;;;;
394080;5759;16;E;;depression;d I p R E S V n;;;;;;;
399840;8159;16;S;;depression;d I p R E S V n;;;;;;;
408000;1919;16;V;;depression;d I p R E S V n;;;;;;;
409920;6719;16;n;;depression;d I p R E S V n;;;;;;;
416640;1919;17;I;;intensified;I n t E n s V f aI d;;;;;;;
418560;4799;17;n;;intensified;I n t E n s V f aI d;;;;;;;
423360;4319;17;t;;intensified;I n t E n s V f aI d;;;;;;;
427680;2399;17;E;;intensified;I n t E n s V f aI d;;;;;;;
430080;3839;17;n;;intensified;I n t E n s V f aI d;;;;;;;
433920;4319;17;s;;intensified;I n t E n s V f aI d;;;;;;;
438240;1439;17;V;;intensified;I n t E n s V f aI d;;;;;;;
439680;3839;17;f;;intensified;I n t E n s V f aI d;;;;;;;
443520;10079;17;aI;;intensified;I n t E n s V f aI d;;;;;;;
453600;3839;17;d;;intensified;I n t E n s V f aI d;;;;;;;
457440;2399;-1;<p:>;;;;;;;;;;
459840;1439;18;I;;into;I n t u:;;;;;;;
461280;5279;18;n;;into;I n t u:;;;;;;;
466560;4319;18;t;;into;I n t u:;;;;;;;
470880;3839;18;u:;;into;I n t u:;;;;;;;
474720;2879;19;V;;a;V;;;;;;;
477600;7199;20;t;;tropical;t R Q p I k V l;;;;;;;
484800;1439;20;R;;tropical;t R Q p I k V l;;;;;;;
486240;1919;20;Q;;tropical;t R Q p I k V l;;;;;;;
488160;3359;20;p;;tropical;t R Q p I k V l;;;;;;;
491520;2399;20;I;;tropical;t R Q p I k V l;;;;;;;
493920;3839;20;k;;tropical;t R Q p I k V l;;;;;;;
497760;1439;20;V;;tropical;t R Q p I k V l;;;;;;;
499200;1919;20;l;;tropical;t R Q p I k V l;;;;;;;
501120;5759;21;s;;storm;s t O: R m;;;;;;;
506880;3359;21;t;;storm;s t O: R m;;;;;;;
510240;7199;21;O:;;storm;s t O: R m;;;;;;;
517440;4799;21;m;;storm;s t O: R m;;;;;;;
522240;27839;-1;<p:>;;;;;;;;;;
