BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;43199;-1;<p:>;;;;;;;;;;
43200;6719;0;{;;After;{ f t 3`;;;;;;;
49920;2879;0;f;;After;{ f t 3`;;;;;;;
52800;5279;0;t;;After;{ f t 3`;;;;;;;
58080;2879;0;3`;;After;{ f t 3`;;;;;;;
60960;5279;1;?;;initially;I n I S V l i:;;;;;;;
66240;2879;1;I;;initially;I n I S V l i:;;;;;;;
69120;5279;1;n;;initially;I n I S V l i:;;;;;;;
74400;4319;1;I;;initially;I n I S V l i:;;;;;;;
78720;6239;1;S;;initially;I n I S V l i:;;;;;;;
84960;1439;1;V;;initially;I n I S V l i:;;;;;;;
86400;4319;1;l;;initially;I n I S V l i:;;;;;;;
90720;4799;1;i:;;initially;I n I S V l i:;;;;;;;
95520;1439;2;m;;moving;m u: v I N;;;;;;;
96960;21119;2;u:;;moving;m u: v I N;;;;;;;
118080;2879;2;v;;moving;m u: v I N;;;;;;;
120960;1439;2;I;;moving;m u: v I N;;;;;;;
122400;1439;2;N;;moving;m u: v I N;;;;;;;
123840;1919;3;4;;to;t u:;;;;;;;
125760;1919;3;I;;to;t u:;;;;;;;
127680;3839;4;D;;the;D V;;;;;;;
131520;8159;4;V;;the;D V;;;;;;;
139680;2399;5;w;;west;w E s t;;;;;;;
142080;1919;5;E;;west;w E s t;;;;;;;
144000;4319;5;s;;west;w E s t;;;;;;;
148320;7679;5;t;;west;w E s t;;;;;;;
156000;5759;-1;<p:>;;;;;;;;;;
161760;3839;6;I;;it;I t;;;;;;;
165600;8159;6;t;;it;I t;;;;;;;
173760;6239;7;t;;turned;t 3` n d;;;;;;;
180000;1919;7;3`;;turned;t 3` n d;;;;;;;
181920;8159;7;n;;turned;t 3` n d;;;;;;;
190080;11039;8;t;;to;t u:;;;;;;;
201120;1919;8;u:;;to;t u:;;;;;;;
203040;3839;9;D;;the;D V;;;;;;;
206880;2399;9;V;;the;D V;;;;;;;
209280;5759;10;s;;south;s aU T;;;;;;;
215040;8159;10;aU;;south;s aU T;;;;;;;
223200;23519;10;T;;south;s aU T;;;;;;;
246720;14879;-1;<p:>;;;;;;;;;;
261600;1439;11;V;;and;V n d;;;;;;;
263040;8639;11;n;;and;V n d;;;;;;;
271680;1919;12;D;;the;D V;;;;;;;
273600;3359;12;V;;the;D V;;;;;;;
276960;6719;13;dZ;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
283680;6239;13;eI;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
289920;5279;13;t;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
295200;4799;13;i:;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
300000;1919;13;d;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
301920;2399;13;V;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
304320;1439;13;b;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
305760;1439;13;l;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
307200;1439;13;j;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
308640;5279;13;u;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
313920;5279;13;s;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
319200;13439;13;i:;;JTWC;dZ eI t i: d V b l j u: s i:;;;;;;;
332640;4799;-1;<p:>;;;;;;;;;;
337440;2879;14;?;;estimated;E s t V m eI t V d;;;;;;;
