BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;26399;-1;<p:>;;;;;;;;;;
26400;2879;0;D;;The;D V;;;;;;;
29280;1439;0;V;;The;D V;;;;;;;
30720;4319;1;m;;music;m j u: z I k;;;;;;;
35040;1919;1;j;;music;m j u: z I k;;;;;;;
36960;2879;1;u;;music;m j u: z I k;;;;;;;
39840;4319;1;z;;music;m j u: z I k;;;;;;;
44160;3359;1;I;;music;m j u: z I k;;;;;;;
47520;1439;1;k;;music;m j u: z I k;;;;;;;
48960;4319;-1;<p:>;;;;;;;;;;
53280;3839;2;v;;video;v I d i: @U;;;;;;;
57120;5759;2;I;;video;v I d i: @U;;;;;;;
62880;2879;2;d;;video;v I d i: @U;;;;;;;
65760;5279;2;i:;;video;v I d i: @U;;;;;;;
71040;3359;2;@U;;video;v I d i: @U;;;;;;;
74400;4319;3;f;;for;f O: R;;;;;;;
78720;2879;3;O:;;for;f O: R;;;;;;;
81600;1439;3;R;;for;f O: R;;;;;;;
83040;3359;4;D;;the;D V;;;;;;;
86400;1919;4;V;;the;D V;;;;;;;
88320;6719;5;s;;song;s O: N;;;;;;;
95040;7199;5;O:;;song;s O: N;;;;;;;
102240;7679;5;N;;song;s O: N;;;;;;;
109920;2399;-1;<p:>;;;;;;;;;;
112320;3359;6;R;;released;R i: l i: s t;;;;;;;
115680;3839;6;I;;released;R i: l i: s t;;;;;;;
119520;1919;6;l;;released;R i: l i: s t;;;;;;;
121440;6719;6;i:;;released;R i: l i: s t;;;;;;;
128160;5279;6;s;;released;R i: l i: s t;;;;;;;
133440;2879;6;t;;released;R i: l i: s t;;;;;;;
136320;4319;7;I;;in;I n;;;;;;;
140640;15839;7;n;;in;I n;;;;;;;
156480;3839;8;eI;;April;eI p R V l;;;;;;;
160320;5759;8;p;;April;eI p R V l;;;;;;;
166080;1439;8;R;;April;eI p R V l;;;;;;;
167520;1439;8;V;;April;eI p R V l;;;;;;;
168960;8159;8;l;;April;eI p R V l;;;;;;;
177120;7199;9;t;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
184320;7199;9;u:;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
191520;5279;9;T;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
196800;1919;9;aU;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
198720;1439;9;z;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
200160;1439;9;V;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
201600;1919;9;n;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
203520;5279;9;d;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
208800;1919;9;t;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
210720;1439;9;w;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
212160;1439;9;E;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
213600;9119;9;l;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
222720;1439;9;v;;two-thousand-twelve;t u: T aU z V n d t w E l v;;;;;;;
224160;16799;-1;<p:>;;;;;;;;;;
240960;4319;10;w;;was;w Q z;;;;;;;
245280;1919;10;Q;;was;w Q z;;;;;;;
247200;5279;10;z;;was;w Q z;;;;;;;
252480;6239;11;f;;filmed;f I l m d;;;;;;;
258720;7199;11;I;;filmed;f I l m d;;;;;;;
265920;1439;11;l;;filmed;f I l m d;;;;;;;
267360;5759;11;m;;filmed;f I l m d;;;;;;;
273120;8159;11;d;;filmed;f I l m d;;;;;;;
281280;4319;12;{;;at;{ t;;;;;;;
285600;1439;12;t;;at;{ t;;;;;;;
287040;6719;-1;<p:>;;;;;;;;;;
293760;1439;13;j;;Universal;j u: n V v 3` s V l;;;;;;;
295200;2399;13;u:;;Universal;j u: n V v 3` s V l;;;;;;;
297600;8159;13;n;;Universal;j u: n V v 3` s V l;;;;;;;
305760;2399;13;V;;Universal;j u: n V v 3` s V l;;;;;;;
308160;1439;13;v;;Universal;j u: n V v 3` s V l;;;;;;;
309600;2399;13;3`;;Universal;j u: n V v 3` s V l;;;;;;;
312000;5759;13;s;;Universal;j u: n V v 3` s V l;;;;;;;
317760;1439;13;V;;Universal;j u: n V v 3` s V l;;;;;;;
319200;2399;13;l;;Universal;j u: n V v 3` s V l;;;;;;;
321600;6239;14;s;;Studios;s t u: d i: @U z;;;;;;;
327840;2879;14;t;;Studios;s t u: d i: @U z;;;;;;;
330720;5759;14;u;;Studios;s t u: d i: @U z;;;;;;;
336480;3359;14;d;;Studios;s t u: d i: @U z;;;;;;;
339840;5759;14;i:;;Studios;s t u: d i: @U z;;;;;;;
345600;2879;14;@U;;Studios;s t u: d i: @U z;;;;;;;
348480;8159;14;z;;Studios;s t u: d i: @U z;;;;;;;
356640;3839;-1;<p:>;;;;;;;;;;
360480;1439;15;I;;in;I n;;;;;;;
361920;10079;15;n;;in;I n;;;;;;;
372000;1439;16;l;;Los;l @U z;;;;;;;
373440;6719;16;@U;;Los;l @U z;;;;;;;
380160;6719;16;z;;Los;l @U z;;;;;;;
386880;2399;17;I;;Angeles;{ n dZ V l I s;;;;;;;
389280;7199;17;n;;Angeles;{ n dZ V l I s;;;;;;;
396480;3839;17;dZ;;Angeles;{ n dZ V l I s;;;;;;;
400320;1439;17;V;;Angeles;{ n dZ V l I s;;;;;;;
401760;5759;17;l;;Angeles;{ n dZ V l I s;;;;;;;
407520;3359;17;@;;Angeles;{ n dZ V l I s;;;;;;;
410880;7679;17;s;;Angeles;{ n dZ V l I s;;;;;;;
418560;42239;-1;<p:>;;;;;;;;;;
